instance,n,m,solved_1h,opt_or_empty,upper,low_star,low_p3
exact001.gr,10,11,1,3,3,3,3
exact002.gr,20,68,1,7,7,7,7
exact003.gr,20,73,1,42,42,40,35
exact004.gr,20,75,1,32,32,32,32
exact005.gr,20,97,1,46,46,41,44
exact006.gr,20,113,1,9,9,9,9
exact007.gr,30,147,1,86,86,81,72
exact008.gr,30,172,1,81,81,81,79
exact009.gr,30,175,1,90,90,88,84
exact010.gr,30,235,1,16,16,16,16
exact011.gr,30,291,1,81,81,81,81
exact012.gr,40,283,1,137,137,137,132
exact013.gr,40,297,1,181,181,171,148
exact014.gr,40,311,1,79,79,78,79
exact015.gr,40,360,1,164,164,163,158
exact016.gr,40,430,1,126,126,126,126
exact017.gr,50,385,1,236,236,229,192
exact018.gr,50,446,1,132,132,132,131
exact019.gr,50,489,1,298,298,286,244
exact020.gr,50,707,1,110,110,110,110
exact021.gr,50,872,1,322,322,321,320
exact022.gr,60,618,1,335,335,333,306
exact023.gr,60,676,1,281,281,279,279
exact024.gr,60,677,1,338,338,332,318
exact025.gr,60,1053,1,439,439,439,438
exact026.gr,60,1221,1,282,282,282,282
exact027.gr,70,795,1,432,432,428,393
exact028.gr,70,821,1,460,460,458,410
exact029.gr,70,1011,1,509,509,507,493
exact030.gr,70,1522,1,277,277,277,277
exact031.gr,70,1596,1,285,285,285,285
exact032.gr,80,865,1,515,515,504,432
exact033.gr,80,1348,1,672,672,671,659
exact034.gr,80,1500,1,785,785,780,744
exact035.gr,80,1831,1,385,385,385,385
exact036.gr,80,2127,1,602,602,602,602
exact037.gr,90,1330,1,703,703,698,638
exact038.gr,90,1410,1,860,860,843,704
exact039.gr,90,1456,1,665,665,665,657
exact040.gr,90,2182,1,492,492,492,491
exact041.gr,90,2319,1,184,184,184,184
exact042.gr,100,1563,0,1000000000,1055,1006,781
exact043.gr,100,1624,0,1000000000,984,968,811
exact044.gr,100,1829,1,905,905,902,878
exact045.gr,100,1981,1,1085,1085,1073,984
exact046.gr,100,2423,1,814,814,814,814
exact047.gr,100,3274,1,749,749,749,749
exact048.gr,113,881,1,437,437,432,395
exact049.gr,113,1896,1,854,854,851,850
exact050.gr,113,3848,1,1440,1440,1440,1439
exact051.gr,120,2251,0,1000000000,1619,1508,1125
exact052.gr,120,2448,0,1000000000,1473,1431,1215
exact053.gr,120,2588,1,1481,1481,1470,1293
exact054.gr,120,2899,1,1372,1372,1371,1360
exact055.gr,120,3723,1,1410,1410,1404,1395
exact056.gr,120,4877,1,721,721,721,721
exact057.gr,121,486,1,122,122,122,122
exact058.gr,121,864,1,210,210,210,210
exact059.gr,121,2174,1,976,976,974,963
exact060.gr,124,2288,0,1000000000,1491,1427,1139
exact061.gr,129,613,1,116,116,116,116
exact062.gr,129,1319,1,469,469,468,465
exact063.gr,129,2476,1,665,665,662,664
exact064.gr,129,3882,1,772,772,772,771
exact065.gr,129,8112,1,128,128,128,128
exact066.gr,139,1583,1,730,730,720,700
exact067.gr,139,2877,1,792,792,792,791
exact068.gr,139,4513,1,632,632,630,630
exact069.gr,140,2915,0,1000000000,2140,1994,1457
exact070.gr,140,3014,0,1000000000,1792,1762,1506
exact071.gr,140,4298,1,2131,2131,2116,2077
exact072.gr,140,4347,1,1967,1967,1966,1960
exact073.gr,140,5137,1,1612,1612,1612,1612
exact074.gr,140,5550,1,995,995,995,995
exact075.gr,144,1191,1,132,132,132,132
exact076.gr,144,2216,1,369,369,369,369
exact077.gr,144,3089,1,78,78,78,78
exact078.gr,144,6127,1,854,854,853,853
exact079.gr,159,433,1,48,48,48,48
exact080.gr,159,1152,1,342,342,336,333
exact081.gr,159,3752,1,2042,2042,2030,1781
exact082.gr,160,4015,0,1000000000,2434,2397,2006
exact083.gr,160,4259,0,1000000000,2939,2808,2129
exact084.gr,160,4436,1,2249,2249,2234,2150
exact085.gr,160,5705,1,1047,1047,1046,1047
exact086.gr,160,6348,1,2838,2838,2837,2833
exact087.gr,160,9200,1,3243,3243,3229,3218
exact088.gr,171,936,1,198,198,198,193
exact089.gr,171,1623,1,534,534,533,528
exact090.gr,171,4211,1,2104,2104,2093,2011
exact091.gr,180,4602,0,1000000000,3234,3072,2300
exact092.gr,180,6067,0,1000000000,3563,3520,3031
exact093.gr,180,6502,1,3842,3842,3830,3250
exact094.gr,180,6894,1,2763,2763,2757,2754
exact095.gr,180,7945,1,358,358,358,358
exact096.gr,180,9833,1,3506,3506,3503,3504
exact097.gr,184,468,1,95,95,94,93
exact098.gr,184,699,1,226,226,225,214
exact099.gr,184,1367,1,650,650,642,583
exact100.gr,184,4953,1,2736,2736,2726,2468
exact101.gr,200,6731,0,1000000000,4198,4135,3365
exact102.gr,200,6746,0,1000000000,3925,3895,3371
exact103.gr,200,7081,0,1000000000,4572,4381,3539
exact104.gr,200,9968,1,4469,4469,4458,4415
exact105.gr,200,12309,0,1000000000,5320,5314,5304
exact106.gr,200,13248,1,4007,4007,4007,4007
exact107.gr,204,632,1,274,274,268,236
exact108.gr,204,1070,1,547,547,543,470
exact109.gr,204,6212,1,2436,2436,2434,2433
exact110.gr,204,9184,1,2378,2378,2375,2375
exact111.gr,204,12271,1,2412,2412,2411,2409
exact112.gr,204,15177,1,1835,1835,1835,1835
exact113.gr,204,19608,1,999,999,999,999
exact114.gr,211,1139,1,124,124,124,124
exact115.gr,211,1705,1,306,306,306,300
exact116.gr,211,2896,1,634,634,629,625
exact117.gr,211,6633,1,2777,2777,2776,2717
exact118.gr,211,17515,1,2943,2943,2943,2943
exact119.gr,213,1826,1,184,184,184,184
exact120.gr,213,3232,1,195,195,193,188
exact121.gr,213,6773,1,742,742,742,742
exact122.gr,215,1098,1,410,410,404,402
exact123.gr,215,2070,1,416,416,416,416
exact124.gr,215,4452,1,732,732,730,729
exact125.gr,215,6896,1,1413,1413,1413,1410
exact126.gr,216,1008,1,149,149,149,148
exact127.gr,216,3070,1,130,130,130,130
exact128.gr,216,3466,1,108,108,108,108
exact129.gr,216,6964,1,2211,2211,2210,2207
exact130.gr,221,723,1,129,129,127,124
exact131.gr,221,1091,1,386,386,381,359
exact132.gr,221,7291,1,4476,4476,4446,3640
exact133.gr,221,18291,1,4836,4836,4836,4835
exact134.gr,232,3633,1,772,772,772,772
exact135.gr,232,3633,1,772,772,772,772
exact136.gr,232,4981,1,81,81,81,81
exact137.gr,232,5578,1,16,16,16,16
exact138.gr,232,16859,1,5289,5289,5281,5275
exact139.gr,232,17300,1,5514,5514,5508,5501
exact140.gr,250,1045,1,451,451,446,426
exact141.gr,250,1450,1,697,697,687,617
exact142.gr,250,2451,1,562,562,560,561
exact143.gr,250,3813,1,1475,1475,1468,1443
exact144.gr,250,4507,1,1500,1500,1499,1497
exact145.gr,250,6574,1,1761,1761,1761,1759
exact146.gr,250,11225,1,4791,4791,4766,4691
