graph,n,m,method,lb,time,ub
ca-GrQc,5242,14484,support,0.0,0.02782750129699707,6070
ca-GrQc,5242,14484,greedy triangle packing,4479.0,0.0059850215911865234,6070
ca-GrQc,5242,14484,triangle packing (MWU),4724.788732394366,0.14498424530029297,6070
ca-GrQc,5242,14484,greedy star packing,5757.0,2.7040352821350098,6070
ca-GrQc,5242,14484,star packing + local search,6006.0,62.23516511917114,6070
ca-GrQc,5242,14484,block LP (cold start),6002.939170348938,230.33363580703735,6070
ca-GrQc,5242,14484,packing + block LP,6036.855052910054,129.95663213729858,6070
ca-GrQc,5242,14484,packing + block LP + gap blocks,6038.859494535485,300.0646507740021,6070
ca-GrQc,5242,14484,KaPoCE root p3 packing,4911.0,46.9085,6070
ca-GrQc,5242,14484,KaPoCE root star packing,6015.0,31.4572,6070
ca-HepTh,9877,25973,support,0.0,0.0342404842376709,15877
ca-HepTh,9877,25973,greedy triangle packing,10835.0,0.0037016868591308594,15877
ca-HepTh,9877,25973,triangle packing (MWU),10886.802816901409,0.3687584400177002,15877
ca-HepTh,9877,25973,greedy star packing,14924.0,0.01710343360900879,15877
ca-HepTh,9877,25973,star packing + local search,15668.0,45.83383226394653,15877
ca-HepTh,9877,25973,block LP (cold start),13418.987722512073,381.67593336105347,15877
ca-HepTh,9877,25973,packing + block LP,15693.01899846908,303.8124237060547,15877
ca-HepTh,9877,25973,packing + block LP + gap blocks,15695.61107848576,343.3325183391571,15877
ca-HepTh,9877,25973,KaPoCE root p3 packing,11448.0,374.079,15877
ca-HepTh,9877,25973,KaPoCE root star packing,15670.0,276.61,15877
BitcoinAlpha+,3683,12972,support,0.0,0.07614803314208984,11461
BitcoinAlpha+,3683,12972,greedy triangle packing,6335.0,0.003355741500854492,11461
BitcoinAlpha+,3683,12972,triangle packing (MWU),6133.580985915493,0.9948797225952148,11461
BitcoinAlpha+,3683,12972,greedy star packing,10592.0,0.037859201431274414,11461
BitcoinAlpha+,3683,12972,star packing + local search,10755.0,39.155200719833374,11461
BitcoinAlpha+,3683,12972,block LP (cold start),7734.532021428633,360.70072889328003,11461
BitcoinAlpha+,3683,12972,packing + block LP,10772.337191358034,302.56776547431946,11461
BitcoinAlpha+,3683,12972,packing + block LP + gap blocks,10774.799208266195,304.66386365890503,11461
BitcoinAlpha+,3683,12972,KaPoCE root p3 packing,6472.0,8.72045,11461
BitcoinAlpha+,3683,12972,KaPoCE root star packing,11038.0,849.781,11461
BitcoinOTC+,5573,18591,support,0.0,0.15868306159973145,16504
BitcoinOTC+,5573,18591,greedy triangle packing,9137.0,0.005019187927246094,16504
BitcoinOTC+,5573,18591,triangle packing (MWU),8773.654929577464,1.6835212707519531,16504
BitcoinOTC+,5573,18591,greedy star packing,15338.0,0.0603182315826416,16504
BitcoinOTC+,5573,18591,star packing + local search,15586.0,54.72985315322876,16504
BitcoinOTC+,5573,18591,block LP (cold start),9409.614277775632,316.67271637916565,16504
BitcoinOTC+,5573,18591,packing + block LP,15610.621375688119,468.3437843322754,16504
BitcoinOTC+,5573,18591,packing + block LP + gap blocks,15609.990835084114,469.84931993484497,16504
ca-CondMat,23133,93439,support,0.0,0.23763513565063477,57000
ca-CondMat,23133,93439,greedy triangle packing,39380.0,0.020290613174438477,57000
ca-CondMat,23133,93439,triangle packing (MWU),39703.83802816901,3.232604503631592,57000
ca-CondMat,23133,93439,greedy star packing,53833.0,0.1017007827758789,57000
ca-CondMat,23133,93439,star packing + local search,55056.0,19.52964472770691,57000
ca-CondMat,23133,93439,block LP (cold start),35699.24183184735,677.9863419532776,57000
ca-CondMat,23133,93439,packing + block LP,55696.258687771624,666.4136967658997,57000
ca-CondMat,23133,93439,packing + block LP + gap blocks,55703.280678197276,666.8101186752319,57000
