graph,variant,time,lb
com-DBLP,block LP (cold start),45.18062353134155,3042.3692762162536
com-DBLP,block LP (cold start),112.64372205734253,6125.864257173613
com-DBLP,block LP (cold start),176.64760780334473,10023.35224403441
com-DBLP,block LP (cold start),238.07852697372437,13195.28786665015
com-DBLP,block LP (cold start),313.2119953632355,16508.873383862898
com-DBLP,block LP (cold start),361.6135377883911,19751.006981741637
com-DBLP,block LP (cold start),419.7869760990143,22710.057253239676
com-DBLP,block LP (cold start),477.521226644516,25781.940057054162
com-DBLP,block LP (cold start),539.1895864009857,28851.989260222763
com-DBLP,block LP (cold start),564.0068693161011,32005.932759413496
com-DBLP,block LP (cold start),584.5229072570801,34895.637494893745
com-DBLP,block LP (cold start),594.5471243858337,37507.71222662181
com-DBLP,block LP (cold start),600.3716385364532,40129.4118513111
com-DBLP,block LP (cold start),600.4559752941132,40129.4118513111
com-DBLP,packing + block LP + gap blocks,148.5319697856903,588129.0
com-DBLP,packing + block LP + gap blocks,214.62661862373352,588215.2334539723
com-DBLP,packing + block LP + gap blocks,281.77818512916565,588271.5790974423
com-DBLP,packing + block LP + gap blocks,330.76738572120667,588421.1434153356
com-DBLP,packing + block LP + gap blocks,344.336195230484,588481.5729025174
com-DBLP,packing + block LP + gap blocks,407.77659368515015,588536.753131032
com-DBLP,packing + block LP + gap blocks,453.79992389678955,588609.6518727969
com-DBLP,packing + block LP + gap blocks,470.0658257007599,588653.1985458527
com-DBLP,packing + block LP + gap blocks,488.6115083694458,588682.1985458527
com-DBLP,packing + block LP + gap blocks,502.87604546546936,588736.9758550897
com-DBLP,packing + block LP + gap blocks,515.4026787281036,588831.07486289
com-DBLP,packing + block LP + gap blocks,545.6391983032227,588869.0656463001
com-DBLP,packing + block LP + gap blocks,560.5946571826935,588900.7323129643
com-DBLP,packing + block LP + gap blocks,576.6343924999237,588938.3528098613
com-DBLP,packing + block LP + gap blocks,594.4143285751343,588985.56966592
com-DBLP,packing + block LP + gap blocks,600.1088399887085,589019.347443698
com-DBLP,packing + block LP + gap blocks,600.1707890033722,589019.347443698
