graph,n,runs,kapoce_unfinished,kapoce_mean,ours_mean,diff_mean,rel_pct,hl,wins,ties,losses,sign_p,ttt,kapoce_time,ours_time,kapoce_rss,ours_rss,ci_lo,ci_hi,holm_p
BitcoinAlpha+,3683,10,0,11437.0,11437.0,0.0,0.0,0.0,0,10,0,1.0,70.89262449741364,412.16830852031705,600.3608422279358,89.362890625,183.39375,0.0,0.0,1.0
ca-GrQc,5242,10,0,6050.0,6050.0,0.0,0.0,0.0,0,10,0,1.0,69.160693526268,462.3169464349747,600.1716312885285,89.2609375,183.33359375,0.0,0.0,1.0
BitcoinOTC+,5573,10,0,16462.0,16462.0,0.0,0.0,0.0,0,10,0,1.0,180.8053753376007,557.9752611160278,600.323061656952,91.48203125,186.052734375,0.0,0.0,1.0
ca-HepTh,9877,10,0,15813.5,15813.0,-0.5,-0.003161755406601745,-0.5,5,5,0,0.0625,125.06716239452362,590.0617160797119,600.1765753984452,92.837890625,182.918359375,-0.8,-0.2,0.625
ca-HepPh,12008,10,0,46133.0,46133.0,0.0,0.0,0.0,0,10,0,1.0,107.14328408241272,590.1174029827118,600.5100609064102,110.86171875,188.062109375,0.0,0.0,1.0
ca-AstroPh,18772,10,0,125606.8,125543.9,-62.9,-0.05007357259042409,-61.0,10,0,0,0.001953125,62.3170405626297,590.2269043207168,600.7955482721329,136.16796875,201.53359375,-78.1,-49.5,0.029296875
ca-CondMat,23133,10,0,56845.6,56834.3,-11.3,-0.019876182165994984,-10.5,8,2,0,0.0078125,56.21703290939331,590.1493011236191,600.2142972707749,106.184765625,193.089453125,-16.4,-6.0,0.1015625
email-Enron,36692,10,0,150460.8,150428.2,-32.6,-0.021664785032457206,-33.0,9,0,1,0.021484375,138.60055553913116,590.2554113149642,600.9989196300506,116.1171875,207.36953125,-47.5,-17.1,0.2578125
loc-Brightkite,58228,10,0,174703.2,174700.1,-3.1,-0.001774388938710864,-3.0,7,0,3,0.34375,431.6563938856125,590.3478694200516,600.4539202928543,121.095703125,218.728125,-6.0,-0.4,1.0
Slashdot+,75144,10,0,351869.1,351865.0,-4.1,-0.0011651932045652418,-3.0,6,2,2,0.2890625,578.7315326929092,590.6723734855652,601.0916403770447,188.491796875,255.553125,-8.7,0.1,1.0
soc-Epinions,75879,10,0,365167.6,365164.5,-3.1,-0.000848421999274166,1.0,4,0,6,0.75390625,inf,590.6193113088608,601.0554383277893,211.03515625,260.4125,-22.7,16.1,1.0
Epinions+,114467,10,0,521818.1,521817.3,-0.8,-0.00015322907138765269,-1.0,5,0,5,1.0,inf,590.8440182685852,601.234395480156,246.870703125,295.20078125,-17.6,16.6,1.0
com-DBLP,317080,10,0,606787.2,606753.1,-34.1,-0.00561949016514733,-31.0,9,0,1,0.021484375,295.55860662460327,591.6433892488479,600.8955402851104,193.369140625,371.584765625,-56.5,-15.1,0.2578125
com-Amazon,334863,10,0,612311.6,612328.7,17.1,0.0027926979215847185,16.5,0,0,10,0.001953125,inf,591.9559111118317,600.7472543954849,180.74609375,360.922265625,14.5,20.0,0.029296875
com-Youtube,1134890,10,0,2649791.7,2650090.2,298.5,0.011267390237552776,272.5,4,0,6,0.75390625,inf,600.7728580474853,605.0092936515808,733.012109375,971.063671875,39.9975,574.9049999999995,1.0
