graph,seed,ours,kapoce,kapoce_time,ours_time
BitcoinAlpha+,0,11437,11437,384.8,600.2
BitcoinAlpha+,1,11437,11437,400.7,600.0
BitcoinAlpha+,2,11437,11437,475.5,600.1
BitcoinAlpha+,3,11437,11437,402.1,600.1
BitcoinAlpha+,4,11437,11437,302.9,600.3
BitcoinAlpha+,5,11437,11437,405.7,600.3
BitcoinAlpha+,6,11437,11437,397.3,600.0
BitcoinAlpha+,7,11437,11437,423.5,600.0
BitcoinAlpha+,8,11437,11437,487.8,602.0
BitcoinAlpha+,9,11437,11437,441.4,600.5
BitcoinOTC+,0,16462,16462,547.8,600.6
BitcoinOTC+,1,16462,16462,575.5,600.1
BitcoinOTC+,2,16462,16462,590.1,600.3
BitcoinOTC+,3,16462,16462,590.0,600.6
BitcoinOTC+,4,16462,16462,373.5,600.4
BitcoinOTC+,5,16462,16462,578.9,600.1
BitcoinOTC+,6,16462,16462,585.3,600.4
BitcoinOTC+,7,16462,16462,558.5,600.1
BitcoinOTC+,8,16462,16462,590.1,600.2
BitcoinOTC+,9,16462,16462,590.1,600.5
Epinions+,0,521807,521828,590.9,600.2
Epinions+,1,521802,521795,590.9,600.2
Epinions+,2,521852,521830,590.9,600.9
Epinions+,3,521867,521814,590.8,602.1
Epinions+,4,521787,521831,590.6,600.1
Epinions+,5,521813,521826,591.0,604.4
Epinions+,6,521786,521795,590.7,600.4
Epinions+,7,521831,521816,590.9,600.0
Epinions+,8,521815,521798,591.0,600.6
Epinions+,9,521813,521848,590.9,603.4
Slashdot+,0,351873,351873,590.5,601.7
Slashdot+,1,351868,351863,590.8,602.7
Slashdot+,2,351875,351871,590.8,600.5
Slashdot+,3,351861,351877,590.5,600.4
Slashdot+,4,351860,351870,590.4,600.2
Slashdot+,5,351860,351863,590.6,600.8
Slashdot+,6,351856,351872,590.6,600.2
Slashdot+,7,351879,351879,591.0,600.2
Slashdot+,8,351857,351858,590.9,601.9
Slashdot+,9,351861,351865,590.5,602.1
ca-AstroPh,0,125545,125566,590.2,600.6
ca-AstroPh,1,125544,125604,590.3,600.3
ca-AstroPh,2,125541,125610,590.2,600.5
ca-AstroPh,3,125542,125594,590.2,600.3
ca-AstroPh,4,125542,125611,590.2,600.2
ca-AstroPh,5,125548,125665,590.2,600.4
ca-AstroPh,6,125548,125607,590.2,600.4
ca-AstroPh,7,125543,125599,590.2,603.4
ca-AstroPh,8,125545,125598,590.2,600.8
ca-AstroPh,9,125541,125614,590.3,601.1
ca-CondMat,0,56834,56857,590.2,600.5
ca-CondMat,1,56834,56851,590.2,600.1
ca-CondMat,2,56834,56834,590.1,600.3
ca-CondMat,3,56834,56835,590.2,600.1
ca-CondMat,4,56834,56851,590.1,600.0
ca-CondMat,5,56835,56839,590.2,600.1
ca-CondMat,6,56834,56852,590.1,600.3
ca-CondMat,7,56835,56851,590.1,600.4
ca-CondMat,8,56834,56834,590.1,600.3
ca-CondMat,9,56835,56852,590.1,600.2
ca-GrQc,0,6050,6050,525.2,600.2
ca-GrQc,1,6050,6050,518.9,600.2
ca-GrQc,2,6050,6050,427.4,600.0
ca-GrQc,3,6050,6050,420.8,600.1
ca-GrQc,4,6050,6050,431.0,600.0
ca-GrQc,5,6050,6050,520.4,600.4
ca-GrQc,6,6050,6050,427.0,600.2
ca-GrQc,7,6050,6050,461.4,600.1
ca-GrQc,8,6050,6050,435.7,600.4
ca-GrQc,9,6050,6050,455.5,600.1
ca-HepPh,0,46133,46133,590.1,600.4
ca-HepPh,1,46133,46133,590.1,600.5
ca-HepPh,2,46133,46133,590.1,600.8
ca-HepPh,3,46133,46133,590.1,600.9
ca-HepPh,4,46133,46133,590.1,600.2
ca-HepPh,5,46133,46133,590.1,600.3
ca-HepPh,6,46133,46133,590.1,600.6
ca-HepPh,7,46133,46133,590.1,600.5
ca-HepPh,8,46133,46133,590.1,600.5
ca-HepPh,9,46133,46133,590.1,600.5
ca-HepTh,0,15813,15813,590.1,600.0
ca-HepTh,1,15813,15814,590.1,600.6
ca-HepTh,2,15813,15814,590.0,600.3
ca-HepTh,3,15813,15814,590.1,600.0
ca-HepTh,4,15813,15813,590.0,600.0
ca-HepTh,5,15813,15814,590.1,600.4
ca-HepTh,6,15813,15813,590.0,600.0
ca-HepTh,7,15813,15813,590.1,600.2
ca-HepTh,8,15813,15814,590.1,600.1
ca-HepTh,9,15813,15813,590.1,600.2
com-Amazon,0,612330,612309,592.5,600.3
com-Amazon,1,612326,612315,591.7,600.5
com-Amazon,2,612324,612310,591.7,600.4
com-Amazon,3,612327,612312,592.0,602.5
com-Amazon,4,612329,612313,592.3,600.7
com-Amazon,5,612333,612313,592.0,600.3
com-Amazon,6,612328,612311,591.6,600.6
com-Amazon,7,612326,612314,591.6,600.4
com-Amazon,8,612334,612307,591.8,601.0
com-Amazon,9,612330,612312,592.5,600.8
com-DBLP,0,606732,606761,591.5,600.6
com-DBLP,1,606777,606796,591.8,601.1
com-DBLP,2,606778,606796,591.8,600.7
com-DBLP,3,606762,606880,591.4,600.5
com-DBLP,4,606762,606803,591.8,603.0
com-DBLP,5,606728,606772,591.6,600.2
com-DBLP,6,606768,606747,592.0,600.3
com-DBLP,7,606723,606744,591.4,600.6
com-DBLP,8,606724,606774,591.6,600.6
com-DBLP,9,606777,606799,591.6,601.5
com-Youtube,0,2649818,2649375,596.2,601.0
com-Youtube,1,2650307,2650158,605.3,610.1
com-Youtube,2,2650190,2650235,605.1,603.3
com-Youtube,3,2650314,2650317,605.2,606.1
com-Youtube,4,2650143,2649269,596.0,608.0
com-Youtube,5,2649993,2650111,605.6,601.2
com-Youtube,6,2649893,2649576,595.6,605.9
com-Youtube,7,2649868,2650197,605.8,607.3
com-Youtube,8,2649994,2649410,596.7,601.9
com-Youtube,9,2650382,2649269,596.3,605.3
email-Enron,0,150445,150432,590.3,600.3
email-Enron,1,150425,150465,590.2,604.1
email-Enron,2,150429,150440,590.2,601.0
email-Enron,3,150419,150489,590.3,600.6
email-Enron,4,150425,150486,590.3,600.9
email-Enron,5,150439,150452,590.2,600.6
email-Enron,6,150423,150475,590.2,600.1
email-Enron,7,150426,150470,590.3,600.5
email-Enron,8,150425,150459,590.3,600.1
email-Enron,9,150426,150440,590.3,601.7
loc-Brightkite,0,174700,174698,590.4,600.5
loc-Brightkite,1,174704,174703,590.3,600.4
loc-Brightkite,2,174702,174707,590.4,600.1
loc-Brightkite,3,174701,174702,590.3,600.4
loc-Brightkite,4,174697,174707,590.5,600.3
loc-Brightkite,5,174700,174706,590.4,600.8
loc-Brightkite,6,174701,174702,590.3,600.9
loc-Brightkite,7,174698,174700,590.3,600.3
loc-Brightkite,8,174698,174709,590.3,600.7
loc-Brightkite,9,174700,174698,590.3,600.1
soc-Epinions,0,365169,365198,590.7,601.8
soc-Epinions,1,365162,365137,590.5,601.9
soc-Epinions,2,365161,365160,590.9,600.9
soc-Epinions,3,365144,365179,590.6,600.7
soc-Epinions,4,365206,365169,590.5,600.5
soc-Epinions,5,365166,365227,590.7,600.6
soc-Epinions,6,365142,365141,590.5,601.4
soc-Epinions,7,365185,365144,590.6,600.4
soc-Epinions,8,365165,365155,590.6,601.6
soc-Epinions,9,365145,365166,590.5,600.7
