instance,n,m,algo,seed,cost,lb,time,error
pace-exact/exact001.gr,10,11,pivot,1,4.0,,0.7284045219421387,
pace-exact/exact001.gr,10,11,pivot50,1,3.0,,0.001253604888916,
pace-exact/exact001.gr,10,11,pivot50,2,3.0,,0.0051076412200927,
pace-exact/exact001.gr,10,11,vote,0,3.0,,0.004645824432373,
pace-exact/exact001.gr,10,11,pivot50,0,3.0,,0.7396426200866699,
pace-exact/exact001.gr,10,11,vote,2,3.0,,0.0001139640808105,
pace-exact/exact001.gr,10,11,vote,1,4.0,,0.0084693431854248,
pace-exact/exact001.gr,10,11,pivot,0,3.0,,0.779193639755249,
pace-exact/exact001.gr,10,11,louvain,0,3.0,,0.0111222267150878,
pace-exact/exact001.gr,10,11,louvain,1,3.0,,0.0151941776275634,
pace-exact/exact001.gr,10,11,louvain,2,3.0,,0.0197138786315917,
pace-exact/exact001.gr,10,11,pivot,2,5.0,,0.8788702487945557,
pace-exact/exact001.gr,10,11,mfp,0,11.0,,0.0364611148834228,
pace-exact/exact001.gr,10,11,mfp,1,10.0,,0.0003077983856201,
pace-exact/exact001.gr,10,11,mfp,2,12.0,,0.0002431869506835,
pace-exact/exact001.gr,10,11,ins,0,3.0,,0.0168535709381103,
pace-exact/exact001.gr,10,11,ins,1,3.0,,0.000669240951538,
pace-exact/exact001.gr,10,11,ins,2,3.0,,0.0005023479461669,
pace-exact/exact001.gr,10,11,flip,0,3.0,,0.0104784965515136,
pace-exact/exact001.gr,10,11,flip,1,3.0,,0.0078773498535156,
pace-exact/exact001.gr,10,11,flip,2,3.0,,0.00993013381958,
pace-exact/exact001.gr,10,11,kapoce,0,3.0,,0.354292631149292,
pace-exact/exact001.gr,10,11,lb:greedy,0,,3.0,0.0073359012603759,
pace-exact/exact001.gr,10,11,lb:tri-mwu,0,,2.989399293286219,0.0120513439178466,
pace-exact/exact002.gr,20,68,pivot,0,37.0,,0.0001149177551269,
pace-exact/exact002.gr,20,68,pivot,1,7.0,,4.601478576660156e-05,
pace-exact/exact002.gr,20,68,pivot,2,17.0,,4.529953002929688e-05,
pace-exact/exact002.gr,20,68,pivot50,0,7.0,,0.0032417774200439,
pace-exact/exact002.gr,20,68,pivot50,1,7.0,,0.0015392303466796,
pace-exact/exact002.gr,20,68,pivot50,2,7.0,,0.0018823146820068,
pace-exact/exact001.gr,10,11,leiden,0,3.0,,0.8784430027008057,
pace-exact/exact002.gr,20,68,vote,1,7.0,,0.0002284049987792,
pace-exact/exact001.gr,10,11,leiden,1,3.0,,0.8771452903747559,
pace-exact/exact002.gr,20,68,louvain,0,7.0,,0.0004642009735107,
pace-exact/exact002.gr,20,68,louvain,1,7.0,,0.0002906322479248,
pace-exact/exact002.gr,20,68,louvain,2,7.0,,0.000279426574707,
pace-exact/exact002.gr,20,68,leiden,0,7.0,,0.0009658336639404,
pace-exact/exact002.gr,20,68,vote,2,7.0,,0.0001149177551269,
pace-exact/exact002.gr,20,68,leiden,2,7.0,,0.0010468959808349,
pace-exact/exact002.gr,20,68,leiden,1,7.0,,0.0097653865814208,
pace-exact/exact001.gr,10,11,leiden,2,3.0,,0.9362831115722656,
pace-exact/exact002.gr,20,68,mfp,0,36.0,,0.0630557537078857,
pace-exact/exact002.gr,20,68,mfp,1,25.0,,0.0628814697265625,
pace-exact/exact002.gr,20,68,ins,0,7.0,,0.0099530220031738,
pace-exact/exact002.gr,20,68,ins,2,7.0,,0.0006053447723388,
pace-exact/exact002.gr,20,68,ins,1,7.0,,0.0203514099121093,
pace-exact/exact002.gr,20,68,flip,0,7.0,,0.0181853771209716,
pace-exact/exact002.gr,20,68,flip,1,7.0,,0.0266308784484863,
pace-exact/exact002.gr,20,68,mfp,2,21.0,,0.0621759891510009,
pace-exact/exact002.gr,20,68,flip,2,7.0,,0.0148053169250488,
pace-exact/exact002.gr,20,68,lb:greedy,0,,7.0,0.0075047016143798,
pace-exact/exact002.gr,20,68,lb:tri-mwu,0,,7.0,0.0241734981536865,
pace-exact/exact003.gr,20,73,pivot,0,56.0,,7.414817810058594e-05,
pace-exact/exact003.gr,20,73,pivot,1,59.0,,3.910064697265625e-05,
pace-exact/exact003.gr,20,73,pivot,2,59.0,,3.790855407714844e-05,
pace-exact/exact003.gr,20,73,pivot50,1,45.0,,0.0011723041534423,
pace-exact/exact003.gr,20,73,pivot50,2,44.0,,0.0010387897491455,
pace-exact/exact003.gr,20,73,vote,0,46.0,,9.012222290039062e-05,
pace-exact/exact003.gr,20,73,vote,1,42.0,,0.0001163482666015,
pace-exact/exact003.gr,20,73,vote,2,42.0,,8.296966552734375e-05,
pace-exact/exact003.gr,20,73,louvain,0,43.0,,0.0004622936248779,
pace-exact/exact003.gr,20,73,louvain,1,42.0,,0.0003168582916259,
pace-exact/exact002.gr,20,68,vote,0,7.0,,0.5419032573699951,
pace-exact/exact003.gr,20,73,pivot50,0,43.0,,0.7649972438812256,
