instance,seed,status,rows,nnz,brute_rows,star_rows,lb_exact,certified,solver_bound
pace-exact/exact001.gr,0,ok,3,9,3,0,3.0,3,3.0
pace-exact/exact002.gr,0,ok,6,21,6,0,7.0,7,7.0
pace-exact/exact003.gr,0,ok,100,427,100,0,41.89504944346845,42,41.89504950495047
pace-exact/exact004.gr,0,ok,27,96,27,0,32.0,32,32.0
pace-exact/exact005.gr,0,ok,77,231,77,0,44.99999996833503,45,44.99999999999997
pace-exact/exact006.gr,0,ok,9,27,9,0,9.0,9,9.0
pace-exact/exact007.gr,0,ok,181,766,181,0,83.99854165595025,84,83.99854174261758
pace-exact/exact008.gr,0,ok,61,243,61,0,81.0,81,81.0
pace-exact/exact009.gr,0,ok,73,282,73,0,90.0,90,90.0
pace-exact/exact010.gr,0,ok,16,48,16,0,16.0,16,16.0
pace-exact/exact011.gr,0,ok,87,261,87,0,80.99999998509884,81,81.0
pace-exact/exact012.gr,0,ok,117,460,117,0,136.99999998975545,137,137.0
pace-exact/exact013.gr,0,ok,457,2258,457,0,175.08447516802698,176,175.08447546725068
pace-exact/exact014.gr,0,ok,72,238,72,0,79.0,79,79.0
pace-exact/exact015.gr,0,ok,371,1134,371,0,163.59999983757734,164,163.59999999999988
pace-exact/exact016.gr,0,ok,126,378,126,0,125.99999997578561,126,126.0
pace-exact/exact017.gr,0,ok,583,3402,583,0,233.2181315580383,234,233.2181319516759
pace-exact/exact018.gr,0,ok,115,396,115,0,132.0,132,132.0
pace-exact/exact019.gr,0,ok,753,3786,753,0,289.1319923438132,290,289.13199280090384
pace-exact/exact020.gr,0,ok,109,330,109,0,110.0,110,110.0
pace-exact/exact021.gr,0,ok,773,2319,773,0,321.9999996703118,322,321.9999999999988
pace-exact/exact022.gr,0,ok,598,2075,598,0,334.9999997885898,335,335.0
pace-exact/exact023.gr,0,ok,454,1362,454,0,280.99999983236194,281,281.0
pace-exact/exact024.gr,0,ok,875,3034,875,0,337.9999995874241,338,337.9999999999976
pace-exact/exact025.gr,0,ok,970,2910,970,0,438.99999956414104,439,438.9999999999986
pace-exact/exact026.gr,0,ok,298,894,298,0,281.9999999171123,282,282.0
pace-exact/exact027.gr,0,ok,791,2726,791,0,431.9999996861443,432,432.0
pace-exact/exact028.gr,0,ok,1043,4284,1043,0,459.29930854123086,460,459.2993090684811
pace-exact/exact029.gr,0,ok,1255,3838,1255,0,508.99999942071736,509,508.99999999999966
pace-exact/exact030.gr,0,ok,277,831,277,0,276.9999999301508,277,277.0
pace-exact/exact031.gr,0,ok,285,855,285,0,285.0,285,285.0
pace-exact/exact032.gr,0,ok,1176,5312,1176,0,507.5251389304176,508,507.525139600436
pace-exact/exact033.gr,0,ok,1728,5198,1728,0,671.9999992046505,672,671.9999999999973
pace-exact/exact034.gr,0,ok,2042,6527,2042,0,781.5129158264026,782,781.5129168047996
pace-exact/exact035.gr,0,ok,394,1182,394,0,384.99999987799674,385,385.0
pace-exact/exact036.gr,0,ok,1086,3258,1086,0,601.9999995613471,602,601.9999999999998
pace-exact/exact037.gr,0,ok,1257,4332,1257,0,702.607416077517,703,702.6074165602658
pace-exact/exact038.gr,0,ok,1126,4238,1126,0,829.7582416040823,830,829.758242003589
pace-exact/exact039.gr,0,ok,1488,4466,1488,0,664.9999993368983,665,664.9999999999961
pace-exact/exact040.gr,0,ok,624,1872,624,0,491.9999997811392,492,492.0
pace-exact/exact041.gr,0,ok,184,552,184,0,184.0,184,184.0
pace-exact/exact042.gr,0,ok,904,3869,904,0,952.8863634290174,953,952.8863636363635
pace-exact/exact043.gr,0,ok,1321,5006,1321,0,954.1382959391922,955,954.1382964155414
pace-exact/exact044.gr,0,ok,1192,4453,1192,0,904.9999997178093,905,905.0
pace-exact/exact045.gr,0,ok,2352,7457,2352,0,1022.9999989373609,1023,1022.9999999999993
pace-exact/exact046.gr,0,ok,1455,4365,1455,0,813.9999994030222,814,814.0
pace-exact/exact047.gr,0,ok,920,2760,920,0,748.9999996321276,749,748.9999999999999
pace-exact/exact048.gr,0,ok,792,2840,792,0,436.9999996945262,437,436.9999999999993
pace-exact/exact049.gr,0,ok,1850,5550,1850,0,853.999999194406,854,853.9999999999986
pace-exact/exact050.gr,0,ok,3153,9459,3153,0,1439.9999986337498,1440,1439.9999999999995
pace-exact/exact051.gr,0,ok,1120,5489,1119,1,1418.3064090386033,1419,1418.3064092504196
pace-exact/exact052.gr,0,ok,1737,6515,1737,0,1359.3520698109642,1360,1359.3520702269475
pace-exact/exact053.gr,0,ok,3112,9716,3112,0,1309.2739336723462,1310,1309.2739351223245
pace-exact/exact054.gr,0,ok,3220,9660,3220,0,1371.9999985778704,1372,1371.9999999999936
pace-exact/exact055.gr,0,ok,3129,9387,3129,0,1400.9999986467883,1401,1400.999999999997
pace-exact/exact056.gr,0,ok,732,2196,732,0,720.9999997317791,721,721.0
pace-exact/exact057.gr,0,ok,122,366,122,0,121.99999997671694,122,122.0
pace-exact/exact058.gr,0,ok,210,630,210,0,210.0,210,210.0
pace-exact/exact059.gr,0,ok,2211,6653,2211,0,974.2499990398064,975,974.2499999999991
pace-exact/exact060.gr,0,ok,1286,5620,1286,0,1347.395822731778,1348,1347.395823002435
pace-exact/exact061.gr,0,ok,116,348,116,0,115.99999998416752,116,116.0
pace-exact/exact062.gr,0,ok,1013,3039,1013,0,468.99999958928674,469,468.99999999999955
pace-exact/exact063.gr,0,ok,1195,3585,1195,0,664.9999995240942,665,665.0
pace-exact/exact064.gr,0,ok,1347,4041,1347,0,771.999999448657,772,771.9999999999995
pace-exact/exact065.gr,0,ok,159,477,159,0,127.99999994039536,128,127.99999999999999
pace-exact/exact066.gr,0,ok,1820,5474,1820,0,721.4999991869554,722,721.4999999999934
pace-exact/exact067.gr,0,ok,1232,3696,1232,0,791.9999995101243,792,791.9999999999998
pace-exact/exact068.gr,0,ok,806,2418,806,0,631.9999997159466,632,632.0
pace-exact/exact069.gr,0,ok,1425,7183,1425,0,1861.2050885492936,1862,1861.2050888366666
pace-exact/exact070.gr,0,ok,1987,7907,1987,0,1716.3283507628366,1717,1716.328351232759
pace-exact/exact071.gr,0,ok,4787,14361,4787,0,2054.813065861352,2055,2054.8130679979918
pace-exact/exact072.gr,0,ok,4340,13020,4340,0,1966.9999981448054,1967,1966.9999999999968
pace-exact/exact073.gr,0,ok,2999,8997,2999,0,1611.9999987222254,1612,1612.0
