instance,n,m,algo,seed,cost,lb,time,error
pace-exact/exact001.gr,10,11,pivot,1,4,,0.7284045219421387,
pace-exact/exact001.gr,10,11,pivot50,1,3,,0.0012536048889160156,
pace-exact/exact001.gr,10,11,pivot50,2,3,,0.0051076412200927734,
pace-exact/exact001.gr,10,11,vote,0,3,,0.004645824432373047,
pace-exact/exact001.gr,10,11,pivot50,0,3,,0.7396426200866699,
pace-exact/exact001.gr,10,11,vote,2,3,,0.00011396408081054688,
pace-exact/exact001.gr,10,11,vote,1,4,,0.008469343185424805,
pace-exact/exact001.gr,10,11,pivot,0,3,,0.779193639755249,
pace-exact/exact001.gr,10,11,louvain,0,3,,0.01112222671508789,
pace-exact/exact001.gr,10,11,louvain,1,3,,0.015194177627563477,
pace-exact/exact001.gr,10,11,louvain,2,3,,0.019713878631591797,
pace-exact/exact001.gr,10,11,pivot,2,5,,0.8788702487945557,
pace-exact/exact001.gr,10,11,mfp,0,11,,0.03646111488342285,
pace-exact/exact001.gr,10,11,mfp,1,10,,0.0003077983856201172,
pace-exact/exact001.gr,10,11,mfp,2,12,,0.00024318695068359375,
pace-exact/exact001.gr,10,11,ins,0,3,,0.01685357093811035,
pace-exact/exact001.gr,10,11,ins,1,3,,0.0006692409515380859,
pace-exact/exact001.gr,10,11,ins,2,3,,0.0005023479461669922,
pace-exact/exact001.gr,10,11,flip,0,3,,0.010478496551513672,
pace-exact/exact001.gr,10,11,flip,1,3,,0.007877349853515625,
pace-exact/exact001.gr,10,11,flip,2,3,,0.009930133819580078,
pace-exact/exact001.gr,10,11,certiflip,0,3,3.0,0.10492753982543945,
pace-exact/exact001.gr,10,11,kapoce,0,3,,0.354292631149292,
pace-exact/exact001.gr,10,11,lb:greedy,0,,3.0,0.0073359012603759766,
pace-exact/exact001.gr,10,11,lb:tri-mwu,0,,2.989399293286219,0.01205134391784668,
pace-exact/exact002.gr,20,68,pivot,0,37,,0.00011491775512695312,
pace-exact/exact002.gr,20,68,pivot,1,7,,4.601478576660156e-05,
pace-exact/exact002.gr,20,68,pivot,2,17,,4.5299530029296875e-05,
pace-exact/exact002.gr,20,68,pivot50,0,7,,0.0032417774200439453,
pace-exact/exact002.gr,20,68,pivot50,1,7,,0.0015392303466796875,
pace-exact/exact002.gr,20,68,pivot50,2,7,,0.001882314682006836,
pace-exact/exact001.gr,10,11,leiden,0,3,,0.8784430027008057,
pace-exact/exact002.gr,20,68,vote,1,7,,0.00022840499877929688,
pace-exact/exact001.gr,10,11,leiden,1,3,,0.8771452903747559,
pace-exact/exact002.gr,20,68,louvain,0,7,,0.0004642009735107422,
pace-exact/exact002.gr,20,68,louvain,1,7,,0.0002906322479248047,
pace-exact/exact002.gr,20,68,louvain,2,7,,0.00027942657470703125,
pace-exact/exact002.gr,20,68,leiden,0,7,,0.0009658336639404297,
pace-exact/exact002.gr,20,68,vote,2,7,,0.00011491775512695312,
pace-exact/exact002.gr,20,68,leiden,2,7,,0.001046895980834961,
pace-exact/exact002.gr,20,68,leiden,1,7,,0.009765386581420898,
pace-exact/exact001.gr,10,11,leiden,2,3,,0.9362831115722656,
pace-exact/exact002.gr,20,68,mfp,0,36,,0.06305575370788574,
pace-exact/exact002.gr,20,68,mfp,1,25,,0.0628814697265625,
pace-exact/exact002.gr,20,68,ins,0,7,,0.009953022003173828,
pace-exact/exact002.gr,20,68,ins,2,7,,0.0006053447723388672,
