instance,n,ours,kapoce,kapoce_valid,kapoce_time,ours_time
pace-heur/heur001.gr,10,10,10,True,0.8,602.7
pace-heur/heur002.gr,100,749,749,True,24.3,600.7
pace-heur/heur003.gr,120,1481,1481,True,27.0,600.3
pace-heur/heur004.gr,140,1792,1792,True,30.8,600.4
pace-heur/heur005.gr,160,2434,2434,True,41.5,600.4
pace-heur/heur006.gr,180,3563,3563,True,51.0,600.3
pace-heur/heur007.gr,200,4198,4198,True,59.0,600.6
pace-heur/heur008.gr,250,451,451,True,22.8,600.4
pace-heur/heur009.gr,250,697,697,True,28.7,600.1
pace-heur/heur010.gr,250,1500,1500,True,38.2,601.0
pace-heur/heur011.gr,250,1761,1761,True,51.1,600.1
pace-heur/heur012.gr,250,6921,6921,True,125.6,601.8
pace-heur/heur013.gr,250,5807,5807,True,164.1,600.0
pace-heur/heur014.gr,300,9861,9861,True,126.1,600.6
pace-heur/heur015.gr,300,7674,7674,True,120.0,601.5
pace-heur/heur016.gr,300,9561,9561,True,121.0,600.6
pace-heur/heur017.gr,300,6866,6866,True,106.8,601.1
pace-heur/heur018.gr,300,2901,2901,True,149.8,600.0
pace-heur/heur019.gr,300,6978,6978,True,199.5,600.0
pace-heur/heur020.gr,320,1349,1349,True,76.7,600.3
pace-heur/heur021.gr,320,4707,4707,True,103.9,600.8
pace-heur/heur022.gr,322,10088,10083,True,265.5,600.2
pace-heur/heur023.gr,329,5123,5123,True,232.6,600.3
pace-heur/heur024.gr,329,5346,5346,True,329.7,600.0
pace-heur/heur025.gr,329,5050,5050,True,448.5,600.1
pace-heur/heur026.gr,330,633,633,True,30.4,600.1
pace-heur/heur027.gr,330,1081,1081,True,41.2,600.1
pace-heur/heur028.gr,330,1563,1563,True,56.1,601.1
pace-heur/heur029.gr,330,2159,2159,True,53.2,600.1
pace-heur/heur030.gr,330,2788,2788,True,54.4,600.1
pace-heur/heur031.gr,330,3684,3684,True,56.7,600.1
pace-heur/heur032.gr,330,4822,4822,True,81.7,600.9
pace-heur/heur033.gr,330,6996,6996,True,94.2,600.1
pace-heur/heur034.gr,345,1268,1268,True,84.6,600.0
pace-heur/heur035.gr,345,2982,2982,True,108.9,600.2
pace-heur/heur036.gr,347,7882,7882,True,297.3,600.9
pace-heur/heur037.gr,347,8563,8563,True,429.9,603.3
pace-heur/heur038.gr,361,3781,3781,True,133.5,601.3
pace-heur/heur039.gr,361,4456,4456,True,206.6,600.6
pace-heur/heur040.gr,361,3454,3454,True,263.6,600.5
pace-heur/heur041.gr,361,3435,3435,True,321.1,601.0
pace-heur/heur042.gr,374,820,820,True,120.5,601.2
pace-heur/heur043.gr,374,9172,9172,True,299.7,600.9
pace-heur/heur044.gr,391,2262,2262,True,92.7,600.3
pace-heur/heur045.gr,391,5444,5444,True,173.5,600.0
pace-heur/heur046.gr,391,11485,11485,True,332.4,600.7
pace-heur/heur047.gr,391,14772,14772,True,468.1,601.9
pace-heur/heur048.gr,400,17780,17780,True,200.9,600.5
pace-heur/heur049.gr,400,13915,13915,True,207.1,600.1
pace-heur/heur050.gr,400,18427,18427,True,218.5,600.8
pace-heur/heur051.gr,400,7249,7249,True,203.0,600.0
pace-heur/heur052.gr,400,20429,20429,True,346.9,601.0
pace-heur/heur053.gr,400,8908,8908,True,471.3,600.2
pace-heur/heur054.gr,449,1039,1039,True,80.5,600.0
pace-heur/heur055.gr,449,3578,3578,True,156.4,600.1
pace-heur/heur056.gr,449,10742,10742,True,335.5,600.3
pace-heur/heur057.gr,491,2820,2820,True,110.6,600.0
pace-heur/heur058.gr,491,5775,5775,True,192.2,600.4
pace-heur/heur059.gr,491,11972,11972,True,347.3,600.4
pace-heur/heur060.gr,491,18768,18768,True,532.0,603.2
pace-heur/heur061.gr,500,24970,24970,True,338.5,601.0
pace-heur/heur062.gr,500,28599,28599,True,382.8,600.0
pace-heur/heur063.gr,500,23652,23652,True,310.1,602.2
pace-heur/heur064.gr,500,14922,14922,True,344.7,601.7
pace-heur/heur065.gr,500,32390,32390,True,457.3,600.5
pace-heur/heur066.gr,500,29222,29222,True,512.2,601.3
pace-heur/heur067.gr,533,2425,2425,True,184.3,601.1
pace-heur/heur068.gr,533,5658,5658,True,339.1,600.4
pace-heur/heur069.gr,551,2387,2387,True,107.2,601.4
pace-heur/heur070.gr,551,5351,5351,True,229.4,600.6
pace-heur/heur071.gr,551,14668,14668,True,511.3,602.5
pace-heur/heur072.gr,601,1882,1882,True,121.0,600.3
pace-heur/heur073.gr,601,6243,6243,True,231.0,600.9
pace-heur/heur074.gr,601,21376,21376,True,590.1,600.0
pace-heur/heur075.gr,620,2529,2529,True,85.5,600.1
pace-heur/heur076.gr,620,5375,5375,True,181.0,600.6
pace-heur/heur077.gr,620,15831,15831,True,316.0,600.4
pace-heur/heur078.gr,620,46764,46764,True,590.1,600.9
pace-heur/heur079.gr,620,27073,27073,True,590.2,600.1
pace-heur/heur080.gr,620,1391,1391,True,590.1,602.5
pace-heur/heur081.gr,871,6532,6532,True,208.9,600.3
pace-heur/heur082.gr,871,8006,8006,True,299.6,600.8
