n,m,pairs,step,time
10000,73530,371581,louvain,0.1457116603851318
10000,73530,371581,iterated flip,6.275732755661011
10000,73530,371581,support,0.0809307098388671
10000,73530,371581,star packing (1e6 iterations),20.636220693588257
30000,225310,1148384,louvain,0.0910887718200683
30000,225310,1148384,iterated flip,17.696251392364502
30000,225310,1148384,support,0.2013082504272461
30000,225310,1148384,star packing (1e6 iterations),23.39262962341309
100000,728705,3715809,louvain,0.3804066181182861
100000,728705,3715809,iterated flip,65.22121906280518
100000,728705,3715809,support,0.6489486694335938
100000,728705,3715809,star packing (1e6 iterations),28.865645170211792
300000,2184008,11116155,louvain,1.598640203475952
300000,2184008,11116155,iterated flip,259.5580282211304
300000,2184008,11116155,support,2.6671581268310547
300000,2184008,11116155,star packing (1e6 iterations),45.7699248790741
1000000,7309827,37240928,louvain,6.548599720001221
1000000,7309827,37240928,iterated flip,1209.8938381671906
1000000,7309827,37240928,support,14.064542770385742
1000000,7309827,37240928,star packing (1e6 iterations),111.81978106498718
