instance,n,m,algo,seed,cost,lb,time,error
ca-GrQc,5242.0,14484.0,pivot,2,9811.0,,0.4051518440246582,
ca-GrQc,5242.0,14484.0,pivot,1,9979.0,,0.4159038066864013,
ca-GrQc,5242.0,14484.0,pivot,0,10074.0,,0.4273791313171386,
ca-GrQc,5242.0,14484.0,pivot50,0,8499.0,,0.0416731834411621,
ca-GrQc,5242.0,14484.0,pivot50,1,8559.0,,0.0425872802734375,
ca-GrQc,5242.0,14484.0,vote,0,6185.0,,0.006227970123291,
ca-GrQc,5242.0,14484.0,vote,2,6203.0,,0.0013689994812011,
ca-GrQc,5242.0,14484.0,vote,1,6190.0,,0.0058801174163818,
ca-GrQc,5242.0,14484.0,pivot50,2,8623.0,,0.0407235622406005,
ca-GrQc,5242.0,14484.0,louvain,0,6158.0,,0.0169398784637451,
ca-GrQc,5242.0,14484.0,louvain,1,6169.0,,0.0171446800231933,
ca-GrQc,5242.0,14484.0,louvain,2,6179.0,,0.0205950736999511,
ca-GrQc,5242.0,14484.0,leiden,2,6171.0,,1.0252773761749268,
ca-GrQc,5242.0,14484.0,leiden,1,6177.0,,1.164470911026001,
ca-GrQc,5242.0,14484.0,leiden,0,6161.0,,1.2213540077209473,
ca-GrQc,5242.0,14484.0,mfp,0,13292.0,,0.4826669692993164,
ca-GrQc,5242.0,14484.0,ins,0,6089.0,,0.0531482696533203,
ca-GrQc,5242.0,14484.0,ins,1,6094.0,,0.0334227085113525,
ca-GrQc,5242.0,14484.0,ins,2,6080.0,,0.0485527515411376,
ca-GrQc,5242.0,14484.0,mfp,1,13584.0,,0.5345313549041748,
ca-GrQc,5242.0,14484.0,mfp,2,13068.0,,0.5616846084594727,
ca-GrQc,5242.0,14484.0,flip,0,6070.0,,0.9764971733093262,
ca-GrQc,5242.0,14484.0,flip,1,6073.0,,1.0908606052398682,
ca-GrQc,5242.0,14484.0,flip,2,6072.0,,1.1809329986572266,
ca-GrQc,5242.0,14484.0,lb:greedy,0,,4479.0,0.0211648941040039,
ca-GrQc,5242.0,14484.0,lb:tri-mwu,0,,4724.788732394366,0.1659462451934814,
ca-HepTh,9877.0,25973.0,pivot,0,23499.0,,0.0004611015319824,
ca-HepTh,9877.0,25973.0,pivot,1,22573.0,,0.0004584789276123,
ca-HepTh,9877.0,25973.0,pivot,2,23156.0,,0.0003969669342041,
ca-HepTh,9877.0,25973.0,pivot50,0,22849.0,,0.10512375831604,
ca-HepTh,9877.0,25973.0,pivot50,1,22573.0,,0.0827133655548095,
ca-HepTh,9877.0,25973.0,pivot50,2,22976.0,,0.0888018608093261,
ca-HepTh,9877.0,25973.0,vote,0,16255.0,,0.0027546882629394,
ca-HepTh,9877.0,25973.0,vote,1,16284.0,,0.0029132366180419,
ca-HepTh,9877.0,25973.0,vote,2,16291.0,,0.0027108192443847,
ca-HepTh,9877.0,25973.0,louvain,0,16190.0,,0.0260195732116699,
ca-HepTh,9877.0,25973.0,louvain,1,16226.0,,0.3595781326293945,
ca-HepTh,9877.0,25973.0,louvain,2,16224.0,,0.0187921524047851,
ca-HepTh,9877.0,25973.0,leiden,0,16227.0,,2.2191293239593506,
ca-HepTh,9877.0,25973.0,leiden,1,16202.0,,2.012953281402588,
ca-HepTh,9877.0,25973.0,leiden,2,16193.0,,1.270873785018921,
ca-HepTh,9877.0,25973.0,mfp,0,29385.0,,0.0735876560211181,
ca-HepTh,9877.0,25973.0,mfp,1,29749.0,,0.0473310947418212,
ca-HepTh,9877.0,25973.0,mfp,2,30010.0,,0.0481212139129638,
ca-HepTh,9877.0,25973.0,ins,0,15929.0,,0.0959174633026123,
ca-HepTh,9877.0,25973.0,ins,1,15935.0,,0.1363043785095214,
ca-HepTh,9877.0,25973.0,ins,2,15939.0,,0.1048243045806884,
ca-HepTh,9877.0,25973.0,flip,0,15877.0,,2.545874118804932,
ca-HepTh,9877.0,25973.0,flip,1,15888.0,,2.9277656078338623,
ca-HepTh,9877.0,25973.0,flip,2,15893.0,,2.5117712020874023,
ca-GrQc,5242.0,14484.0,kapoce,0,6050.0,,334.5217080116272,
ca-HepTh,9877.0,25973.0,lb:greedy,0,,10835.0,0.044318675994873,
ca-HepTh,9877.0,25973.0,lb:tri-mwu,0,,10886.802816901409,0.4391474723815918,
ca-HepPh,12008.0,118489.0,pivot,0,88732.0,,0.0006463527679443,
ca-HepPh,12008.0,118489.0,pivot,1,91166.0,,0.0005903244018554,
ca-HepPh,12008.0,118489.0,pivot,2,91173.0,,0.0005164146423339,
ca-HepPh,12008.0,118489.0,pivot50,0,63780.0,,0.1167562007904052,
ca-HepPh,12008.0,118489.0,pivot50,1,66585.0,,0.1170098781585693,
ca-HepPh,12008.0,118489.0,pivot50,2,66519.0,,0.1445860862731933,
ca-HepPh,12008.0,118489.0,vote,0,46660.0,,0.0088844299316406,
ca-HepPh,12008.0,118489.0,vote,1,46515.0,,0.0081334114074707,
ca-HepPh,12008.0,118489.0,vote,2,46682.0,,0.328341007232666,
