instance,n,m,algo,seed,cost,lb,time,error
email-Eu-core,1005,16064,lb:greedy,0,,7817.0,0.4646456241607666,
email-Eu-core,1005,16064,lb:tri-mwu,0,,8002.485185185185,1.761713981628418,
facebook,4039,88234,lb:greedy,0,,34967.0,0.39484500885009766,
facebook,4039,88234,lb:tri-mwu,0,,39075.55633802817,11.357632637023926,
wiki-Vote,7115,100762,lb:greedy,0,,50131.0,1.0198452472686768,
wiki-Vote,7115,100762,lb:tri-mwu,0,,50185.485185185185,34.89546775817871,
cit-HepPh,34546,420877,lb:greedy,0,,207886.0,3.819875717163086,
cit-HepPh,34546,420877,lb:tri-mwu,0,,199258.21478873238,141.11917519569397,
p2p-Gnutella31,62586,147892,lb:greedy,0,,71919.0,0.3067915439605713,
p2p-Gnutella31,62586,147892,lb:tri-mwu,0,,73400.31365313653,7.317858457565308,
amazon0302,262111,899792,lb:greedy,0,,375946.0,2.001164436340332,
amazon0302,262111,899792,lb:tri-mwu,0,,408596.338028169,47.47555875778198,
roadNet-PA,1088092,1541898,lb:greedy,0,,696566.0,1.4578197002410889,
roadNet-PA,1088092,1541898,lb:tri-mwu,0,,728848.2711267605,13.591376543045044,
